receive 0 signal | time now: 0.0009136199951171875 | total fee now: 2
receive 0 signal | time now: 0.22294282913208008 | total fee now: 2
receive 1 signal | time now: 0.5547246932983398 | total fee now: 2
receive 1 signal | time now: 0.7733070850372314 | total fee now: 2
receive 1 signal | time now: 0.9923105239868164 | total fee now: 2
receive 2 signal | time now: 1.215388536453247 | total fee now: 2
receive 3 signal | time now: 1.5432782173156738 | total fee now: 2
receive 3 signal | time now: 1.764247179031372 | total fee now: 2
receive 4 signal | time now: 1.9844927787780762 | total fee now: 2
receive 4 signal | time now: 2.315459728240967 | total fee now: 2
receive 5 signal | time now: 2.539170026779175 | total fee now: 2
receive 6 signal | time now: 2.760733127593994 | total fee now: 2
receive 7 signal | time now: 2.9823315143585205 | total fee now: 2
receive 7 signal | time now: 3.3112635612487793 | total fee now: 2
receive 8 signal | time now: 3.533853530883789 | total fee now: 2
receive 9 signal | time now: 3.7546191215515137 | total fee now: 2
receive 10 signal | time now: 4.082081079483032 | total fee now: 10
receive 10 signal | time now: 4.3051605224609375 | total fee now: 10
receive 11 signal | time now: 4.522127628326416 | total fee now: 10
receive 12 signal | time now: 4.741961240768433 | total fee now: 10
receive 12 signal | time now: 5.068832874298096 | total fee now: 10
receive 13 signal | time now: 5.290953874588013 | total fee now: 10
receive 14 signal | time now: 5.511017560958862 | total fee now: 10
receive 14 signal | time now: 5.837593078613281 | total fee now: 10
receive 15 signal | time now: 6.052631378173828 | total fee now: 10
receive 16 signal | time now: 6.277364492416382 | total fee now: 10
receive 17 signal | time now: 6.496363639831543 | total fee now: 10
receive 17 signal | time now: 6.83227276802063 | total fee now: 10
receive 17 signal | time now: 7.054601430892944 | total fee now: 10
receive 17 signal | time now: 7.273387670516968 | total fee now: 10
receive 18 signal | time now: 7.6005940437316895 | total fee now: 19
receive 18 signal | time now: 7.8235859870910645 | total fee now: 19
receive 18 signal | time now: 8.042574405670166 | total fee now: 19
receive 18 signal | time now: 8.366787910461426 | total fee now: 19
receive 19 signal | time now: 8.58335566520691 | total fee now: 19
receive 19 signal | time now: 8.803166151046753 | total fee now: 19
receive 19 signal | time now: 9.022210121154785 | total fee now: 19
receive 19 signal | time now: 9.350048780441284 | total fee now: 19
receive 20 signal | time now: 9.56932806968689 | total fee now: 19
receive 20 signal | time now: 9.896194219589233 | total fee now: 19
receive 20 signal | time now: 10.114445686340332 | total fee now: 19
receive 21 signal | time now: 10.331921815872192 | total fee now: 19
receive 22 signal | time now: 10.549720764160156 | total fee now: 19
receive 23 signal | time now: 10.875015497207642 | total fee now: 19
receive 24 signal | time now: 11.093323230743408 | total fee now: 25
receive 25 signal | time now: 11.313057661056519 | total fee now: 25
